username	time	date	city	tweet	flixbus	bahn	blablacar	country
Johannis_Beere	14:36:18	18.11.2017	Gotha	@Roland_ff @dpa @tzmuenchen Ob Mann oder Frau entscheiden die Gene. Es gibt XY und XX Chromosomensätze, und nur ein… https://t.co/hqy0TeiHVY	0	1	0	 Deutschland
nordwestnews24	14:36:24	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Buchholz(Nordheide) (planmäßig 14:17) +14 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
nordwestnews24	14:36:26	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Buchholz(Nordheide) (planmäßig 14:19) +14 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
docgoy	14:36:28	18.11.2017		Unfall in Hamburg - Fahrgäste sehen zufällig Jugendlichen auf U-Bahn-Dach liegen - schwer verletzt  Ein 16-Jähriger… https://t.co/WxEqdpKcwf	0	1	0	Germany
haekelelse	14:36:33	18.11.2017	Nrw	RT @IrgendwieJuna: Falls Sie sich wundern, ich stecke in der Bahn fest, höre wie Menschen am Telefon Auskunft über ihren Blasendruck g… 	0	1	0	 nähe Dortmund
sel_tweets_	14:36:46	18.11.2017		RT @hdsvivs: ICH HASSE DIE BAHN SO SEJR	0	1	0	hell
RolfMecke	14:37:02	18.11.2017	NRW	"Gemeinsam gegen den Stau
Am frühen Morgen geht auf etlichen Strecken in der Republik so ziemlich gar nichts mehr. K… https://t.co/xdFX0kODvh"	0	1	1	 Goch
stoerticker	14:37:13	18.11.2017		[S-Bahn M]  2. Update S 7 #Wolfratshausen: #Ersatzverkehr mit #Bus und #Taxis   +++ https://t.co/6Mm9nKMRUd	0	1	0	http://app.stoerticker.de
p_fraup_	14:37:13	18.11.2017	ABSURDISTAN	RT @Einzelfallinfos: #Nettetal: Zur Abschiebung ausgeschriebener Marokkaner hat bereits in #Österreich, der #Schweiz,den #Niederlanden u… 	0	1	0	 mittendrin.
HelgaChadwick	14:37:22	18.11.2017	New York	Unfall in Hamburg - Fahrgäste sehen zufällig Jugendlichen auf U-Bahn-Dach liegen - schwer verletzt	0	1	0	 USA
NadineNoesler	14:37:49	18.11.2017	Essen	#Zugverspätung. Der Grund: Die Bäume werfen im #Herbst ganz überraschend ihre Blätter auf die Schienen. #db #deutschebahn	0	1	0	 Nordrhein-Westfalen
RaReiHE	14:38:24	18.11.2017		von wegen😣@1_FCM #BadBoy #Erdmann, eher.. ?? Ähh🤔, wie heißt das schnurrende🐱Tier? #Rother hat mit der 7.📓Karte gle… https://t.co/Qj2wPjBdb5	0	1	0	Deutschland / Germany
sannysc94	14:38:27	18.11.2017		"DIe Deutsche Bahn AG sucht einen:
(Elektrotechnik-) #Ingenieur als #Projektmanager Leit- und #Sicherungstechnik (w/… https://t.co/T9mYyWHmm5"	0	1	0	
derTuppes_	14:38:32	18.11.2017	Augsburg	Ich bin im Bus/Zug 'RE 57040' (DB Regio) nach Meitingen! 🚃😊 #Traveli #dbl https://t.co/jkR8aWfVf6 https://t.co/zkGLAZ22ou	0	1	0	 Deutschland
WilderMohn	14:39:30	18.11.2017		RT @bpol_koblenz: Ärger bei der Fahrscheinkontrolle im #Zug bei #Reiskirchen - Mann verletzt #Zugbegleiter durch Kopfnuss # bpol ermi… 	0	1	0	❤️🇩🇪Germany🇩🇪❤️
the_haschtag	14:39:40	18.11.2017		"At the #trainstation in #rickenbach, #switzerland.
#longexposure #photography #langzeitbelichtung #fotografie #dslr… https://t.co/a6eWdswhBr"	0	1	0	Deutschland
spielerunde	14:40:00	18.11.2017		Wir steigen in den Zug in Richtung Orient. Wird bestimmt eine ruhige und ereignislose Fahrt. #Exit @KOSMOS_Verlag… https://t.co/3Lis8NafuE	0	1	0	Ludwigshafen am Rhein
ReisePapa	14:40:07	18.11.2017	Bielefeld	Was kann man bei 15 Minuten Zug-Verspätung machen? Tauben über den Vorplatz jagen. 😂 #ReisenmitKindern https://t.co/sHxYdo8JY3	0	1	0	 Germany
luinbloom	14:41:08	18.11.2017		RT @hdsvivs: ICH HASSE DIE BAHN SO SEJR	0	1	0	slytherin house || she/her
RolfMecke	14:41:17	18.11.2017	NRW	"#Fahrgemeinschaft hilft gegen Staus
Am frühen Morgen geht auf etlichen Strecken in der Republik so ziemlich gar nic… https://t.co/BC7TAHHdxd"	0	1	1	 Goch
perry__63	14:41:18	18.11.2017	Köln	RT @A_Perlator: Gedrängel auf dem Bahnsteig als der Zug einfährt. Ziel: irgendwann is einer zu mutig und wird mitgenommen	0	1	0	 Deutschland
whatsername0212	14:42:43	18.11.2017		Wieso kann mir weder die DB noch die RMV Website sagen, wie viel ich für mein Scheiß Ticket nach Wiesbaden bezahlen… https://t.co/ub5ZKpcNc2	0	1	0	Trier/Mannheim
metronom4me	14:43:02	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Hamburg-Harburg (planmäßig 14:30) +12 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
sannysc94	14:43:27	18.11.2017		"Die Deutsche Bahn AG sucht:
#Elektrotechniker als #Planungsingenieur mit Schwerpunkt #elektrotechnische… https://t.co/Grwx5ry2Tz"	0	1	0	
Azure_Cris	14:45:03	18.11.2017		In preview -  Azure Cosmos DB Apache® Cassandra API - https://t.co/lnoY2H14ju	0	1	0	in the Cloud
FRlokal	14:45:13	18.11.2017	Frankfurt	Nahverkehr in #Frankfurt: Zwei U-Bahn-Linien fahren künftig nachts. https://t.co/7JZ4gFGXBp	0	1	0	 Hessen
metronom4me	14:46:02	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Hamburg-Harburg (planmäßig 14:31) +13 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
nordwestnews24	14:46:38	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Hamburg-Harburg (planmäßig 14:30) +12 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
nordwestnews24	14:46:39	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Hamburg-Harburg (planmäßig 14:31) +13 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
WullschlegerUrs	14:47:09	18.11.2017		RT @NatalieRickli: Haben gewisse Leute kein Zuhause? Oder Anstand? Im Zug ab Winti sitzt ein Mann mit nackten Füssen und massiert sich dies…	0	1	0	
Boelscheline	14:47:22	18.11.2017		RT @ellibisathide: Kenn ich auch so, nachts Büroräume geputzt, an Wochenenden als Küchenhilfe bei der DB mitgefahren, in den Semesterf… 	0	1	0	
QueeniePi	14:47:29	18.11.2017	Berlin	RT @Einzelfallinfos: #Nettetal: Zur Abschiebung ausgeschriebener Marokkaner hat bereits in #Österreich, der #Schweiz,den #Niederlanden u… 	0	1	0	 Deutschland
BahnTicketsCom	14:47:32	18.11.2017		#Bahn #Sonderkontingent nur noch bis #Sonntag verfügbar. 1 #Million zusätzliche #Sparpreis #Tickets ab #19 ,90 Euro… https://t.co/1GgD97qQns	0	1	0	In Zügen
